id,title,ISBN13,pages,authors,publisher,date
2017,Foundation for Future Database Systems: The Third Manifesto,9780201709285,547,"C.J. Date,Hugh Darwen",Addison-Wesley Professional,May 12th 2000
2018,Ocp MySQL 5.6 Database Administrator Exam Guide (Exam 1z0-883),9780071775786,816,Steve O'Hearn,McGraw-Hill/Osborne Media,February 22nd 2016
2019,MySQL for Python: Database Access Made Easy,9781849510189,440,Albert Lukaszewski,Packt Publishing,September 25th 2010
2020,Practical Database Programming with Visual C#.Net,9780470467275,903,Ying Bai,IEEE Computer Society Press,March 18th 2010
2021,Beginning C# 2008 Databases: From Novice to Professional,9781590599006,482,"James Huddleston,Ranga Raghuram",Apress,October 1st 2007
2022,The Definitive Guide to MongoDB: The NoSQL Database for Cloud and Desktop Computing,9781430230526,329,Eelco Plugge,Apress L. P.,August 26th 2010
2023,SQL Server 2012 Database Design,,462,Kalman Toth,,December 31st 2012
2024,"Database Management Systems, Third Edition",,1104,"Raghu Ramakrishnan,Johannes Gehrke",,
2025,Web Database Development Step by Step,9780735609662,425,Jim Buyens,Microsoft Press,June 3rd 2000
2026,Handbook of Database Security: Applications and Trends,9780387485324,577,Michael Gertz,Springer,November 30th 2007
2027,"Database Theory: Database, Relational Database, Entity-Attribute-Value Model, Temporal Database, Database Model, Conjunctive Query",9781155892252,52,Source Wikipedia,"Books LLC, Wiki Series",September 4th 2011
2028,Blackstone's Police Operational Handbook,9780199229284,777,"Police National Legal Database,Fraser Sampson","Oxford University Press, USA",March 1st 2008
2029,Database Normalization,9785510953077,150,"Jesse Russell,Ronald Cohn",Book on Demand Ltd.,April 13th 2012
2030,The Teradata Database,9780966549348,428,Brian Marshall,Education In Parallel,February 1st 2001
2031,Hands-On Database,,216,Steve Conger,Prentice Hall,April 29th 2011
2032,Database Systems,9781423938842,0,Peter Rob,Cengage Learning,March 28th 2006
2033,Genetic Databases,9780121016258,320,Martin J. Bishop,Academic Press,September 27th 1999
2033,Database Design,9780070701328,751,Gio Wiederhold,McGraw-Hill Companies,March 1st 1983
2035,Computer Databases,,44,Andrew M. Brown,,December 6th 2013
2036,Training Kit (Exam 70-462): Administering Microsoft SQL Server 2012 Databases,9780735666078,624,"Orin Thomas,Neil Hambly,Peter D. Ward",Microsoft Press,July 16th 2012
2037,Database System Concepts,9780070447523,546,"Hank Korth,Hank Korth",McGraw-Hill Companies,June 1st 1986
2038,Learning the MySQL Database,9781449362904,325,Russell J.T. Dyer,O'Reilly Media,August 22nd 2014
2039,Databases and Knowledge Systems in Merchandising,9780442005672,215,John M. McCann,Van Nostrand Reinhold Company,August 1st 1990
2040,Understanding Database Management Systems,9780070499997,666,Robert M. Mattison,McGraw-Hill Companies,September 1st 1997
2041,Database Management System,9781282803619,,Nirupma Pathak,Himalaya Pub. House,January 1st 2008
2042,"QuickSheet: Citing Ancestry.com Databases & Images, Evidence Style",9780806317946,4,Elizabeth Shown Mills,Genealogical Pub Co,February 9th 2009
2043,Amazon Relational Database Service User Guide,,480,Amazon Web Services,,April 5th 2012
2044,"Database Principles: Fundamentals of Design, Implementation, and Management",9780538469517,698,"Carlos Coronel,Stephen Morris,Peter Rob",Cengage Learning,2011
2045,Oracle Database 10g New Features,9780072229479,240,"Robert G. Freeman,Jonathan Lewis",McGraw-Hill/Osborne Media,April 13th 2004
2046,Concurrency Control and Recovery in Database Systems,9780201107159,370,Philip A. Bernstein,Addison Wesley Publishing Company,January 1st 1987
2047,An Advanced Course in Database Systems: Beyond Relational Databases,9780130428981,320,Suzanne W Dietrich,Prentice Hall,October 22nd 2004
2048,Oracle Dataguard: Standby Database Failover Handbook,9780974599380,230,"Bipul Kumar,Donald K. Burleson",Rampant Techpress,January 1st 2005
2049,Database Design Using Entity-Relationship Diagrams,9780849315480,242,Sikha Bagui,Auerbach Publications,June 27th 2003
2050,OCA Oracle Database SQL Certified Expert Exam Guide (Exam 1Z0-047) (Oracle Press),,796,Steve O'Hearn,McGraw-Hill Osborne,January 1st 2010
2051,"Physical Database Design: The Database Professional's Guide to Exploiting Indexes, Views, Storage, and More",9780123693891,427,"Sam S. Lightstone,Toby J. Teorey,Tom Nadeau",Morgan Kaufmann Publishers,April 4th 2007
2052,Database Design for Smarties: Using UML for Data Modeling,9781558605152,464,Robert J. Muller,Morgan Kaufmann Publishers,March 8th 1999
2053,MCTS Self-Paced Training Kit (Exam 70-433): Microsoft SQL Server 2008 - Database Development,9780735626393,496,"Tobias Thernstrom,Ann Weber,Mike Hotek",Microsoft Press,February 22nd 2009
2054,File Organization for Database Design,9780070701335,619,Gio Wiederhold,McGraw-Hill Companies,April 1st 1987
2055,IBM Database DB2 for Beginners,,195,Deny Sutani,Elex Media,August 11th 2010
2056,Database Programming with VB.NET,9781893115293,472,Carsten Thomsen,Apress,August 28th 2001
2057,Expert Oracle9i Database Administration,9781590590225,1248,Sam R. Alapati,Apress,April 15th 2003
2058,Recipes for Continuous Database Integration,,55,Pramod J. Sadalage,Addison-Wesley Professional,March 27th 2007
2059,A Sane Approach to Database Design,9781435733381,187,Mark Johansen,Lulu.com,July 19th 2008
2060,Relational Database: Selected Writings,9780201141962,497,C.J. Date,Addison Wesley Publishing Company,March 1st 1986
2061,Until Superpowers Database,9781583660133,,Steven S. Long,,
2062,Making Art of Databases,9789056623098,99,"Lev Manovich,Scott Lash",NAI Publishers,August 2nd 2003
2063,Cryptography in the Database: The Last Line of Defense,9780321320735,277,Kevin Kenan,Addison Wesley Publishing Company,October 1st 2005
2064,UML Database Modeling Workbook,9781935504511,206,Michael R. Blaha,"Technics Publications, LLC",September 1st 2013
2065,Database,9785513111962,86,"Jesse Russell,Ronald Cohn",Book on Demand Ltd.,August 9th 2012
2066,Database Systems,9780131968332,572,Alice Tsai,Prentice Hall,March 1st 1988
2067,Databased Marketing,9780471551874,320,Herman Holtz,Wiley,August 6th 1992
2068,Natural Medicines Comprehensive Database,9780967613642,1530,"Therapeutic Research Faculty Staff,Jeff M. Jellin",Therapeutic Research Faculty,
2069,Amazon Relational Database Service Getting Started Guide,,27,Amazon Web Services,,April 5th 2012
2070,The Theory Of Database Concurrency Control,9780881750270,,Christos H. Papadimitriou,,
2071,Perl Database Programming,785555110526,572,Brent Michalski,John Wiley & Sons,November 7th 2002
2072,Strategic Database Marketing,9780844232324,262,Robert Jackson,McGraw-Hill Companies,July 11th 1994
2073,Beginning C# 2005 Databases,9780470044063,501,Karli Watson,Wrox Press,October 1st 2006
2074,Oracle Database 11g,9781430204695,620,Sam R. Alapati,Apress,January 1st 2007
2075,Oracle Database 11g DVD,9780132555241,,"Ramez Elmasri,Shamkant B. Navathe",Addison-Wesley Professional,April 16th 2010
2076,Encyclopedia of Database Systems,9780387355443,4355,M. Tamer Ozsu,Springer,September 1st 2009
2077,The Theory Of Relational Databases,9780914894421,640,David Maier,Computer Science Press,May 31st 1983
2078,Oracle Database 11g Oracle Real Application Clusters Handbook,9780071752626,517,K. Gopalakrishnan,McGraw-Hill/Osborne Media,August 31st 2011
2079,Relational Database Writings 1985-1989,9780201508819,528,C.J. Date,Addison-Wesley Professional,January 1st 1990
2080,Customer Relationship Management: A Databased Approach,9780471271338,,Vinay Kumar,John Wiley & Sons,May 1st 2005
2081,Date on Database: Writings 2000-2006,9781590597460,539,C.J. Date,Apress,November 1st 2006
2082,Managing Distributed Databases: Building Bridges Between Database Islands,9780471086239,384,Donald K. Burleson,Wiley,September 29th 1995
2083,Conceptual Database Design: An Entity-Relationship Approach,9780805302448,470,"Carol Batini,Shamkant B. Navathe,Stefano Ceri",Addison-Wesley Professional,August 7th 1991
2084,Fuzzy Database Modeling with XML (Advances in Database Systems),9780387242491,216,Zongmin Ma,,
2085,Databases and Database Management,9781903337080,154,"Juliet Holmes,R. L. Warrender",Learning Matters Limited,March 1st 2003
2086,Database Machines And Database Management,9780131960312,636,Esen A. Ozkarahan,Prentice Hall,
2087,Database Marketing: Analyzing and Managing Customers,9781441903327,871,"Robert C. Blattberg,Scott A. Neslin,Byung-Do Kim",Springer,April 1st 2009
2088,Oracle Database 12c New Features,9780071799324,464,Robert Freeman,McGraw-Hill Education,December 13th 2013
2089,SQL Server 2005 Practical Troubleshooting: The Database Engine,9780321447746,480,Ken Henderson,Addison-Wesley Professional,December 1st 2006
2090,Oracle Database 11g: New Features for DBAs and Developers,9781590599105,602,"Sam R. Alapati,Charles Kim",Apress,November 1st 2007
2091,Direct and Database Marketing,9780749419608,320,Graeme McCorkell,Kogan Page,September 1st 1997
2092,Secrets of the Oracle Database,9781430219521,515,Norbert Debes,Apress,June 2nd 2009
2093,Guide To Database Management System,9788183331722,,Satish Jain,,
2094,Inside Relational Databases,9781852334017,357,"Mark Whitehorn,Bill Marklyn",Springer,June 27th 2001
2095,Data Analysis for Database Design,9780750650861,336,David Howe,Butterworth-Heinemann,June 26th 2001
2096,Database Management Systems Book,,384,Suresh Fatehpuria,Genius Publications,
2097,Beginning ASP.Net 2.0 and Databases,9780471781349,535,John Kauffman,Wrox Press,July 1st 2006
2098,Developing Time-Oriented Database Applications in SQL [With CDROM],9781558604360,544,Richard T. Snodgrass,Morgan Kaufmann Publishers,July 12th 1999
2099,Database Systems,,408,Nenad Jukic,Prentice Hall,March 29th 2013
2100,Database Pro,,396,Kalman Toth,,February 8th 2013
2101,Oracle 10g Database Administrator: Implementation and Administration,9781418836658,768,"Gavin Powell,Carol McCullough-Dieter",Cengage Learning,June 21st 2006
2102,The Relational Model for Database Management: Version 2,9780201141924,538,E.F. Codd,Addison Wesley Publishing Company,May 1st 2000
2103,Inside Relational Databases with Examples in Access,9781846283949,372,"Mark Whitehorn,Bill Marklyn",Springer,October 31st 2006
2104,Practical Oracle8i: Building Efficient Databases,9780201715842,672,Jonathan Lewis,Addison-Wesley Professional,December 28th 2000
2105,Database Design: Know it All,9780080877891,366,"Toby J. Teorey,Stephen Buxton,Lowell Fryman,Ralf Goting,Terry Halpin,Jan L. Harrington,William Inmon,Sam S. Lightstone,Jim Melton,Tony Morgan,Thomas Nadeau,Bonnie O'Neil,Elizabeth O'Neil,Patrick O'Neil,Markus Schneider,Graeme Simsion,Graham Witt",Morgan Kaufmann Publishers,May 14th 2014
2106,Database Design: Know It All,9780123746306,349,Stephen Buxton,Morgan Kaufmann Publishers,November 1st 2008
2107,Database Modeling and Design,9781558605008,384,Toby J. Teorey,Morgan Kaufmann Publishers,October 23rd 1998
2108,UML for Database Design,9780201721638,320,"Eric J. Naiburg,Robert A. Maksimchuk",Addison-Wesley Professional,August 3rd 2001
2109,Oracle Database 10g OCP Certification All-In-One Exam Guide (Oracle Database 10g Handbook),9780072257908,926,"Damir Bersinic,John    Watson",McGraw-Hill Osborne Media,September 12th 2005
2110,Professional iPhone and iPad Database Application Programming,9780470636176,375,Patrick Alessi,Wrox Press,October 26th 2010
2111,Excel As Your Database,9781590597514,226,Paul Cornell Jr.,Apress,March 1st 2007
2112,Beginning ASP.Net 4.5 Databases,9781430243809,280,"Sandeep Chanda,Damien Foggon",Apress,March 20th 2013
2113,Mastering Dreamweaver MX Databases,9780782141481,707,Susan Sales Harkins,Sybex,February 28th 2003
2114,The Database Relational Model: A Retrospective Review And Analysis: A Historical Account And Assessment Of E. F. Codd's Contribution To The Field Of Database Technology,9780201612943,,C.J. Date,Addison Wesley,May 15th 2000
2115,Beginning VB.NET Databases,9780764568008,738,Thearon Willis,Wiley Publishing,October 1st 2004
2116,Object-Oriented Database Design Clearly Explained,9780123264282,312,Jan L. Harrington,Morgan Kaufmann Publishers,October 7th 1999
2117,Database Design and Implementation,9780471757160,762,Edward Sciore,John Wiley & Sons,October 1st 2008
2118,Oracle Database 10g: The Complete Reference (Osborne ORACLE Press Series),783254043381,1369,"Kevin Loney,Lisa McClain",McGraw-Hill Osborne Media,May 5th 2004
2119,Database Design,9780070529557,510,Naphtali Rishe,McGraw-Hill Companies,January 1st 1992
2120,Practical Issues in Database Management: A Reference for the Thinking Practitioner,9780201485554,288,Fabian Pascal,Addison-Wesley Professional,June 2nd 2000
2121,"Database Design, Application Development, and Administration",9780072942200,,Michael V. Mannino,Irwin/McGraw-Hill,November 10th 2005
2122,"Database Systems: Design, Implementation, & Management",,784,"Carlos Coronel,Steven Morris",Cengage Learning,February 4th 2014
2123,SQL Database for Beginners,,423,"Martin Holzke,Tom Stachowitz","LearnToProgram, Incorporated",November 2nd 2014
2124,Logic Programming and Databases (Surveys in Computer Science),9780387517285,284,"Stefano Ceri,G. Gottlob",Springer,June 28th 1990
2125,Murach's ADO.NET 4 Database Programming with C# 2010,9781890774639,712,"Anne Boehm,Ged Mead",Mike Murach & Associates,April 26th 2011
2126,Databases And Database Systems: Concepts And Issues,9780862380915,,E.A. Oxborrow,,
2127,The Database Experts' Guide To Database 2,9780070364882,442,Bruce L. Larson,Intertext Publications,June 1988
2128,Enterprise Android: Programming Android Database Applications for the Enterprise,9781118183496,380,"Zigurd Mednieks,G. Blake Meike,Laird Dornin",Wrox Press,October 28th 2013
2129,Databases,9780534391140,,Behrouz A. Forouzan,Course Technology,February 1st 2006
2130,SQL Server 2014 Database Design,,464,Kalman Toth,,May 5th 2014
2131,Expert Oracle Database 11g Administration,9781430210153,1344,Sam R. Alapati,Apress,November 1st 2008
2132,Agile Database Techniques: Effective Strategies for the Agile Software Developer,723812098330,447,Scott W. Ambler,Wiley Publishing,October 17th 2003
2133,C++ Database Development,9781558283572,413,Al Stevens,MIS-Press,August 28th 2000
2134,Database Management Systems,9781408007686,392,"Patricia Ward,George Dafoulas",Cengage Learning,January 9th 2008
2135,Wiley Pathways Introduction to Database Management,9780470101865,478,"Mark L. Gillenson,Paulraj Ponniah,Alex Kreigel,Boris Trukhnov,Allen G. Taylor,Gavin Powell,Frank  Miller",John Wiley & Sons,February 1st 2007
2136,Logic and Databases: The Roots of Relational Theory,9781425122904,460,C.J. Date,Trafford Publishing,June 18th 2007
2137,Database Access with Visual Basic .Net,9780672323430,464,"Jeffrey P. McManus,Jackie Goldstein",Addison-Wesley Professional,February 21st 2003
2138,Recipes for Continuous Database Integration: Evolutionary Database Development (Digital Short Cut),9780132703116,56,Pramodkumar J. Sadalage,Addison-Wesley Professional,March 26th 2003
2139,"Databases, Types, and the Relational Model: The Third Manifesto",9780321399427,556,"C.J. Date,Hugh Darwen",Addison Wesley Publishing Company,February 1st 2006
2140,Joe Celko's Data and Databases: Concepts in Practice,9781558604322,448,Joe Celko,Morgan Kaufmann Publishers,August 10th 1999
2141,Oracle Database 11g Release 2 Performance Tuning Tips & Techniques,9780071780261,1140,Richard Niemiec,McGraw-Hill/Osborne Media,March 19th 2012
2142,Defensive Database Programming with SQL Server,9781906434496,394,Alex Kuznetsov,Red Gate Books,May 31st 2010
2143,Mastering Database Programming with Visual Basic 6 [With CDROM],9780782125986,896,Evangelos Petroutsos,Sybex,January 4th 2000
2144,Visual Basic.Net Database Programming,29236726812,450,Rod Stephens,Que,April 21st 2002
2145,Database Design and Relational Theory: Normal Forms and All That Jazz,9781449328016,278,C.J. Date,O'Reilly Media,April 24th 2012
2146,Oracle Database 11g Underground Advice For Database Administrators,9781849680004,348,April Sims,Packt Publishing,April 10th 2010
2147,Beginning XML Databases,9780471791201,470,Gavin Powell,Wrox Press,November 1st 2006
2148,MySQL Database Usage & Administration,9780071605496,348,Vikram Vaswani,McGraw-Hill/Osborne Media,November 1st 2009
2149,Absolute Beginner's Guide to Databases,9780789725691,336,John Petersen,Que,March 15th 2002
2150,Business Database Systems,9781405874373,566,"Thomas Connolly,Carolyn Begg,Richard Holowczak",Addison Wesley Longman,November 1st 2008
2151,database fundamentals,,282,"Neeraj Sharma,Liviu Perniu,Raul F. Chong,Abhishek Iyer,Chaitali Nandan,Adi-Cristina Mitea,Mallarswami Nonvinkere,Mirela Danubianu",db2university,November 2010
2152,Pro Active Record: Databases with Ruby and Rails,9781590598474,280,Kevin Marshall,Apress,June 1st 2007
2153,Beginning C# 5.0 Databases,9781430242604,440,Vidya Vrat Agarwal,Apress,August 16th 2012
2154,Oracle Database 10g RMAN Backup & Recovery,9780072263176,666,"Matthew Hart,Robert G. Freeman",McGraw-Hill Education,November 1st 2006
2155,Essentials of Database Management,9780133405682,378,"Jeffrey A. Hoffer,Heikki Topi,Ramesh Venkataraman",Prentice Hall,June 27th 2013
2156,Spatial Databases: A Tour,9780130174802,262,"Shashi Shekhar,Sanjay Chawla",Pearson,June 30th 2002
2157,Database Management System,,242,WAGmob,WAGmob,July 11th 2013
2158,Architecture of a Database System,9781601980786,136,"Joseph M. Hellerstein,James Hamilton,Michael Stonebraker",Now Publishers,September 30th 2007
2159,Six-Step Relational Database Design™ (Second Edition): A Step by Step Approach to Relational Database Design and Development,9781481942720,234,Fidel A. Captain,Createspace Independent Publishing Platform,May 11th 2013
2160,High-Performance Parallel Database Processing and Grid Databases,9780470107621,551,"David Taniar,Wenny Rahayu",John Wiley & Sons,September 1st 2008
2161,Oracle Essentials: Oracle Database 10g,9780596005856,400,"Rick Greenwald,Jonathan Stern,Robert Stackowiak",O'Reilly Media,February 18th 2004
2162,Advanced Database Systems,9781558604438,576,"Carlo Zaniolo,Stefano Ceri",Morgan Kaufmann Publishers,May 15th 1997
2163,Database Aesthetics: Art in the Age of Information Overflow,9780816641192,336,Victoria Vesna,Univ Of Minnesota Press,August 22nd 2007
2164,Belajar Sendiri: Membuat Aplikasi Database Sistem InventoriDengan Visual Basic 6.0,9789792058529,268,Henky Alexander Mangkulo,Elex Media Komputindo,2004
2165,Oracle Database 11g New Features,9780071496612,362,"Tom Kyte,Tom Kyte",McGraw-Hill/Osborne Media,November 26th 2007
2166,Oracle Database 10g: A Beginner's Guide,9780072230789,392,"Ian Abramson,Michael Corey,Michael Abbey,Michael S. Abbey",McGraw-Hill/Osborne Media,April 21st 2004
2167,Oracle Database 10g Real Application Clusters Handbook,9780071465090,421,"K. Gopalakrishnan,Vijay Lunawat",McGraw-Hill/Osborne Media,December 1st 2006
2168,Oracle Database Administration: The Essential Reference,9781565925168,582,"David C. Kreines,Brian Laskey",O'Reilly Media,April 21st 1999
2169,Oracle Database 11g: A Beginner's Guide,9780071604598,410,"Ian Abramson,Michael Abbey,Michael J. Corey",McGraw-Hill/Osborne Media,December 18th 2008
2170,Databases A Beginner's Guide,9780071608466,496,Andy Oppel,McGraw-Hill Osborne Media,March 23rd 2009
2171,Oracle Database 10g Performance Tuning Tips & Techniques,9780072263053,967,Richard Niemiec,McGraw-Hill/Osborne Media,July 16th 2007
2172,Database Systems.,9781408048634,832,Peter Rob,Cengage Learning,January 1st 2013
2173,Oracle Database 12c the Complete Reference,9780071801751,1472,"Bob Bryla,Kevin Loney",McGraw-Hill Education,October 2nd 2013
2174,"Practical PostgreSQL. A Hardened, Robust, Open Source Database.",9781565928466,636,"Joshua D. Drake,John C. Worsley",O'Reilly Media,January 14th 2002
2175,Beginning Databases with Post Gresql,9781861005151,592,"Richard Stones,Neil Matthew",Wrox Press,September 26th 2001
2176,Database Administration: The Complete Guide to Practices and Procedures,9780201741292,736,Craig S. Mullins,Addison-Wesley Professional,June 14th 2002
2177,Mobile Database Systems,9780471467922,294,Vijay Kumar,Wiley-Interscience,July 1st 2006
2178,Mastering Visual Basic .NET Database Programming,9780782128789,960,Evangelos Petroutsos,Sybex,January 11th 2002
2179,Oracle Database 11g PL/SQL Programming Workbook,9780071493697,478,"Michael McLaughlin,John M. Harper",McGraw-Hill/Osborne Media,February 1st 2010
2180,Schaum's Outline of Fundamentals of Relational Databases,639785324300,249,"Ramon Mata-Toledo,Pauline Cushman",McGraw-Hill,November 15th 2000
2181,Quicksheet Citing Ancestry.Com Databases & Images,9780806318677,,Elizabeth Shown Mills,,
2182,"Database Systems: A Practical Approach to Design, Implementation and Management",9780201708578,848,Thomas Connolly,Addison Wesley Longman,August 1st 2001
2183,"Advanced Concepts In Operating Systems: Distributed, Database, And Multiprocessor Operating Systems",9780071136686,,"Mukesh Singhal,Niranjan G. Shivaratri",,
2184,Oracle Database 11g DBA Handbook,9780071496636,670,"Bob Bryla,Kevin Loney",McGraw-Hill/Osborne Media,December 1st 2007
2185,Database Systems: An Application-Oriented Approach,9780321268457,1235,"Michael Kifer,Philip M. Lewis,Arthur Bernstein",Addison Wesley Publishing Company,March 26th 2005
2186,Professional Xml Databases,9781861003584,1007,"Kevin Williams,Jeff Gabriel",Wrox Press,
2187,Database Management Systems-Designing & Building Business Applications,9780072973129,512,Gerald V. Post,Irwin/McGraw-Hill,February 4th 2004
2188,Designing Effective Database Systems,9780321290939,384,Rebecca M. Riordan,Addison-Wesley Professional,January 20th 2005
2189,Oracle Database 12c SQL,9780071799362,688,Jason Price,McGraw-Hill Education,June 26th 2013
2190,Fundamentals of Database Systems/Oracle 9i Programming,9780321206749,0,"Ramez Elmasri,Shamkant B. Navathe,Rajshekhar Sunderraman",Addison Wesley Longman,August 2nd 2003
2191,Mastering C# Database Programming,9780782141832,688,Jason Price,Sybex,May 6th 2003
2192,"Introduction to Database Systems, volume 2",9780201144741,383,C.J. Date,Addison Wesley Publishing Company,January 1st 1983
2193,Principles of Relational Database Systems,9780137167968,323,Sitansu S. Mittra,Prentice Hall,January 1st 1991
2194,Expert Oracle Database Architecture,9781430262985,824,Thomas Kyte,Apress,November 5th 2014
2195,Tera-Tom on Teradata Database Administration,9780976830221,312,"Tom Coffing,Steve Wilmes",Coffing Publishing,November 1st 2004
2196,Designing Relational Database Systems,9780735606340,320,Rebecca M. Riordan,Microsoft Press,September 1st 1999
2197,Spatial Databases: With Application to GIS,9781558605886,410,Philippe Rigaux,Morgan Kaufmann Publishers,June 1st 2001
2198,Soft Cinema: Navigating the Database,9780262134569,40,"Lev Manovich,Andreas Kratky",Mit Press,May 20th 2005
2199,Database Programming with C#,9781590590102,504,Carsten Thomsen,Apress,April 10th 2002
2199,Database Solutions: A Step By Step Approach To Building Databases,9780201674767,,"Thomas Connolly,Carolyn Begg",Addison-Wesley Professional,December 23rd 1999
2201,Expert Oracle Database 10g Administration,9781590594513,1276,Sam R. Alapati,Apress,March 28th 2006
2202,Database Management Systems,9780071231510,936,"Raghu Ramakrishnan,Ramakrishnan",McGraw Hill Higher Education,September 1st 2002
2203,Oracle Database 11g PL/SQL Programming,9780071494458,835,Michael McLaughlin,McGraw-Hill/Osborne Media,April 1st 2008
2204,Database Administration Fundamentals: Exam 98-364,9780470889169,113,MOAC (Microsoft Official Academic Course),John Wiley & Sons,July 12th 2011
2205,Relational Database Design Clearly Explained,9781558608207,416,Jan L. Harrington,Morgan Kaufmann Publishers,April 30th 2002
2206,Oracle Database 11g: The Complete Reference,9780071598750,1334,Kevin Loney,McGraw-Hill/Osborne Media,January 1st 2009
2207,Data Management: Databases & Organizations,9780471715368,640,Richard T. Watson,Wiley,September 1st 2005
2208,Handbook of Relational Database Design,9780201114348,624,Candace C. Fleming,Addison-Wesley Professional,January 11th 1989
2209,Database Development for Dummies,9780764507526,360,Allen G. Taylor,For Dummies,November 15th 2000
2210,Oracle Database 10g DBA Handbook,9780072231458,736,"Kevin  Loney,Bob Bryla",McGraw-Hill Education,April 1st 2005
2211,Translucent Databases,9780967584416,193,Peter Wayner,Flyzone Sr Llc,April 20th 2003
2212,Database Systems Using Oracle: A Simplified Guide to SQL and PL/SQL,9780131018570,432,Nilesh Shah,Prentice Hall,May 23rd 2004
2213,Database Systems: Introduction to Databases and Data Warehouses,9780132575676,408,Nenad Jukic,Pearson,January 13th 2013
2214,"Database Management Systems: Database, SQL, Relational Database, Relational Model, Database Management System, Database Normalization",9781157460336,150,Source Wikipedia,"Books LLC, Wiki Series",July 7th 2011
2215,IMS for the COBOL Programmer: Database Processing with DL/I,9780911625295,333,Steve Eckols,Mike Murach & Associates,January 1st 1985
2216,Wordnet: An Electronic Lexical Database,9780262061971,449,Christiane Fellbaum,Bradford Book,May 22nd 1998
2217,Data Modeling and Database Design,9781423900832,698,Narayan S. Umanath,Course Technology,November 1st 2006
2218,MySQL/PHP Database Applications [With CDROM],9780764535376,648,"Brad Bulger,Jay Greenspan",John Wiley & Sons,January 1st 2001
2219,Database Management,9780878357130,620,Elias M. Awad,Boyd & Fraser Pub. Co.,March 1st 1992
2220,Build Your Own Database Driven Website Using PHP & MySQL,9780975240212,359,"Kevin Yank,Georgina Laidlaw",Site Point,October 11th 2004
2221,MySQL Database Design and Tuning,9780672327650,432,Robert D. Schneider,MySQL Press,June 1st 2005
2222,Implementing Database Security and Auditing,9781555583347,432,Ron Ben-Natan,Digital Press,July 1st 2005
2223,Database: Principles Programming Performance,9781558602199,873,Patrick O'Neil,Morgan Kaufmann Publishers,January 1st 1994
2224,Database Modeling & Design: Logical Design,9780126853520,275,Toby J. Teorey,Morgan Kaufmann Publishers,October 1st 2005
2225,Hands-On Database: An Introduction to Database Design and Development,9780136108276,195,Steve Conger,Prentice Hall,January 14th 2011
2226,Beginning Database Design,9780764574900,467,Gavin Powell,Wrox Press,March 1st 2005
2227,Sql Server Interview Questions And Answers: For All Database Developers And Developers Administrators,9781466405646,210,"Pinal Dave,Vinod Kumar,Rhonda Chesley,Michael McLean,Christopher Lennick",Createspace,October 1st 2011
2228,Database Systems,9781403916013,601,Paul Beynon-Davies,Palgrave Macmillan,2004
2229,A First Course in Database Systems (GOAL Series),9780130353009,528,"Jeffrey D. Ullman,Jennifer Widom",Prentice Hall,October 12th 2001
2230,Beginning ASP Databases,9781861002723,856,"John Kauffman,Thearon Willis",Wrox Press,January 1st 1999
2231,Database Solutions: A Step by Step Guide to Building Databases,9780321173508,436,"Thomas M. Connolly,Carolyn Begg",Addison Wesley Publishing Company,December 12th 2003
2232,"Database Systems: Design, Implementation, and Management",,752,"Carlos Coronel,Steven Morris,Peter Rob",Cengage Learning,January 1st 2012
2233,Database Security and Auditing: Protecting Data Integrity and Accessibility,9780619215590,429,Hassan A. Afyouni,Course Technology,April 6th 2005
2234,Concepts of Database Management,9781111825911,415,"Philip J. Pratt,Joseph J. Adamski",Course Technology,June 14th 2011
2235,Database Concepts And Systems For Students,9788184046694,342,Ivan Bayross,Shroff Publishers &amp Distributors Pvt. Ltd.,2009
2236,Access Database Design & Programming,9780596002732,450,Steven Roman,O'Reilly Media,January 14th 2002
2237,"Database Processing: Fundamentals, Design, and Implementation",9780131672673,696,David M. Kroenke,Prentice Hall,February 23rd 2005
2238,Databases Illuminated,9780763733148,874,Catherine M. Ricardo,Jones & Bartlett Publishers,September 23rd 2004
2239,Oracle Database 11g SQL,9780071498500,656,Jason Price,McGraw-Hill/Osborne Media,November 1st 2007
2240,Database of Dreams: Forgotten Archive of How to Be Human,9780300209525,384,Rebecca Lemov,Yale University Press,November 24th 2015
2241,"Database Systems: Principles, Design, and Implementation",9780023996658,576,Catherine M. Ricardo,MacMillan Publishing Company,January 1st 1990
2242,Database Systems,9780132144988,1200,"Ramez Elmasri,Shamkant B. Navathe",Pearson,
2243,Distributed Database Systems,9786612652523,324,Chhanda Ray,Milliken,October 7th 2008
2244,Principles of Multimedia Database Systems,9781558604667,442,V.S. Subrahmanian,Morgan Kaufmann Publishers,January 1st 1998
2245,Database in Depth: Relational Theory for Practitioners,9780596100124,232,C.J. Date,O'Reilly Media,May 15th 2005
2246,"Database Systems: A Practical Approach to Design, Implementation and Management",9780321210258,1424,"Thomas M. Connolly,Carolyn Begg",Addison Wesley,May 24th 2004
2247,Database Management Systems,9780071111805,424,Gerald V. Post,McGraw-Hill/Irwin,2002
2248,The Database Hacker's Handbook: Defending Database Servers,9780764578014,500,"David Litchfield,Chris Anley,John Heasman,Bill Grindlay",Wiley Publishing,July 1st 2005
2249,Databases Demystified,9780072253641,338,Andy Oppel,McGraw-Hill/Osborne Media,March 1st 2004
