_id,ltable_id,rtable_id,ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages
634520,451,1729,Data Structures And Algorithms Using Java,William McAllister,Jones & Bartlett Learning,9780763757564,2008.0,12,580.0,Data Structures And Java,Ken Brownsey,Addison Wesley Publishing Company,9780201770520.0,2006.0,11.0,600.0
636205,452,1278,The Java EE 7 Tutorial: Volume 2 / Edition 5,"Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa",Addison-Wesley,9780321980083,2014.0,5,720.0,"The Java EE 7 Tutorial, Volume 1","Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa",Addison-Wesley Professional,9780321994929.0,2014.0,5.0,641.0
636468,452,1877,The Java EE 7 Tutorial: Volume 2 / Edition 5,"Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa",Addison-Wesley,9780321980083,2014.0,5,720.0,"The Java EE 7 Tutorial, Volume 2","Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa,Ricardo Cervera-Navarro,William Markito",Addison-Wesley Professional,9780321980083.0,2014.0,5.0,628.0
637455,453,35,The Definitive Guide to Java Swing / Edition 3,John Zukowski,Apress,9781590594476,2005.0,6,928.0,The Definitive Guide to Java Swing,John Zukowski,Apress,9781590594476.0,2000.0,12.0,899.0
639320,454,1278,The Java EE 7 Tutorial: Volume 1 / Edition 5,"Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa",Addison-Wesley,9780321994929,2014.0,5,696.0,"The Java EE 7 Tutorial, Volume 1","Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa",Addison-Wesley Professional,9780321994929.0,2014.0,5.0,641.0
639584,454,1877,The Java EE 7 Tutorial: Volume 1 / Edition 5,"Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa",Addison-Wesley,9780321994929,2014.0,5,696.0,"The Java EE 7 Tutorial, Volume 2","Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa,Ricardo Cervera-Navarro,William Markito",Addison-Wesley Professional,9780321980083.0,2014.0,5.0,628.0
640923,455,1186,Blue Pelican Java,Charles E. Cook,Virtualbookworm.com,9781589397583,2005.0,7,542.0,Blue Pelican Java,Charles Cook,Virtualbookworm.com Publishing,9781589397583.0,2005.0,7.0,542.0
644348,458,173,"Data Structures and Algorithm Analysis in Java, 3rd Edition",Clifford A. Shaffer,Dover Publications,9780486485812,2011.0,9,608.0,Data Structures and Algorithms in Java,Adam Drozdek,Cengage Learning,9780534492526.0,2004.0,9.0,768.0
644389,458,248,"Data Structures and Algorithm Analysis in Java, 3rd Edition",Clifford A. Shaffer,Dover Publications,9780486485812,2011.0,9,608.0,Data Structures and Algorithm Analysis in Java,Mark Allen Weiss,Addison Wesley,9780321370136.0,2006.0,3.0,576.0
644427,458,304,"Data Structures and Algorithm Analysis in Java, 3rd Edition",Clifford A. Shaffer,Dover Publications,9780486485812,2011.0,9,608.0,Data Structures and Algorithms in Java,Robert Lafore,Sams Publishing,9780672324536.0,2002.0,11.0,800.0
644439,458,319,"Data Structures and Algorithm Analysis in Java, 3rd Edition",Clifford A. Shaffer,Dover Publications,9780486485812,2011.0,9,608.0,Data Structures and Algorithms in Java,"Michael T. Goodrich,Roberto Tamassia",Wiley,9780471738848.0,2005.0,8.0,720.0
644493,458,420,"Data Structures and Algorithm Analysis in Java, 3rd Edition",Clifford A. Shaffer,Dover Publications,9780486485812,2011.0,9,608.0,Data Structures and Algorithm Analysis in Java,Clifford A. Shaffer,Dover Publications,9780486485812.0,2011.0,9.0,608.0
644544,458,504,"Data Structures and Algorithm Analysis in Java, 3rd Edition",Clifford A. Shaffer,Dover Publications,9780486485812,2011.0,9,608.0,Data Structures and Algorithms in Java,Peter  Drake,Prentice Hall,9780131469143.0,2005.0,12.0,568.0
646310,459,613,Java For Dummies Quick Reference,Doug Lowe,Wiley,9781118168233,2012.0,6,288.0,Java for Dummies Quick Reference,Doug Lowe,For Dummies,9781118168233.0,2012.0,6.0,276.0
647629,461,140,Java Programming Interviews Exposed,Noel Markham,Wiley,9781118722862,2014.0,2,384.0,Java Programming Interviews Exposed,Noel Markham,Wrox Press,9781118722862.0,2014.0,2.0,368.0
651365,464,132,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8) Barnes & Noble Exclusive Edition / Edition 7",Rogers Cadenhead,Sams,9780672337178,2014.0,5,490.0,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,Sams,9780672337024.0,2014.0,5.0,448.0
653193,465,38,Java 7 for Absolute Beginners,Jay Bryant,Apress,9781430236863,2011.0,12,320.0,Java 7 for Absolute Beginners,Jay Bryant,Apress,9781430236863.0,2011.0,12.0,320.0
654809,466,1305,"Java: The Ultimate Guide to Learn Java and Python Programming (Programming, Java, Database, Java for dummies, coding books, java programming)","Peter Hoffman,Stephen Hoffman,java programming",CreateSpace Publishing,9781523359196,2016.0,2,100.0,"Java: The Ultimate Guide to Learn Java and SQL Programming (Programming, Java, Database, Java for Dummies, Coding Books, Java Programming)","Peter Hoffman,Stephen Hoffman",Createspace Independent Publishing Platform,9781523390359.0,2016.0,2.0,84.0
654897,466,1552,"Java: The Ultimate Guide to Learn Java and Python Programming (Programming, Java, Database, Java for dummies, coding books, java programming)","Peter Hoffman,Stephen Hoffman,java programming",CreateSpace Publishing,9781523359196,2016.0,2,100.0,"Java: The Ultimate Guide to Learn Java Programming Fast (Programming, Java, Database, Java for Dummies, Coding Books, Java Programming)","Peter Hoffman,Java for dummies,Java Programming",Createspace Independent Publishing Platform,9781523251773.0,2016.0,1.0,46.0
654898,466,1553,"Java: The Ultimate Guide to Learn Java and Python Programming (Programming, Java, Database, Java for dummies, coding books, java programming)","Peter Hoffman,Stephen Hoffman,java programming",CreateSpace Publishing,9781523359196,2016.0,2,100.0,"Java: The Ultimate Guide to Learn Java and Python Programming (Programming, Java, Database, Java for Dummies, Coding Books, Java Programming)","Peter Hoffman,Stephen Hoffman,Java Programming",Createspace Independent Publishing Platform,9781523359196.0,2016.0,2.0,100.0
655011,466,1897,"Java: The Ultimate Guide to Learn Java and Python Programming (Programming, Java, Database, Java for dummies, coding books, java programming)","Peter Hoffman,Stephen Hoffman,java programming",CreateSpace Publishing,9781523359196,2016.0,2,100.0,"Java: The Simple Guide to Learn Java Programming in No Time (Programming, Database, Java for Dummies, Coding Books, Java Programming)","David Hoffman,Java for dummies,Java Programming",Createspace Independent Publishing Platform,9781533419132.0,2016.0,5.0,50.0
659559,469,262,Operating System Concepts with Java / Edition 8,"Abraham Silberschatz,Peter B. Galvin,Greg Gagne",Wiley,9780470509494,2009.0,11,1040.0,Operating System Concepts with Java,"Abraham Silberschatz,Peter Baer Galvin,Greg Gagne",John Wiley & Sons,9780470509494.0,2009.0,11.0,1020.0
661410,470,214,Objects First with Java: A Practical Introduction Using BlueJ / Edition 6,"Michael Kolling,David J. Barnes",Pearson,9780134477367,2016.0,5,672.0,Objects First with Java: A Practical Introduction Using BlueJ,"David J. Barnes,Michael Kölling",Prentice Hall,9780131976290.0,2006.0,6.0,520.0
661516,470,382,Objects First with Java: A Practical Introduction Using BlueJ / Edition 6,"Michael Kolling,David J. Barnes",Pearson,9780134477367,2016.0,5,672.0,Objects First with Java: A Practical Introduction Using Bluej.,D. Barnes,Pearson Education,9780132835541.0,2011.0,10.0,560.0
663530,471,1148,Oracle Certified Professional Java SE 8 Programmer Exam 1Z0-809: A Comprehensive OCPJP 8 Certification Guide: A Comprehensive OCPJP 8 Certification Guide,"S.G. Ganesh,Hari Kiran Kumar,Tushar Sharma",Apress,9781484218358,2016.0,5,484.0,Oracle Certified Professional Java SE 7 Programmer Exams 1Z0-804 and 1Z0-805: A Comprehensive OCPJP 7 Certification Guide,"S.G. Ganesh,Tushar Sharma",Apress,9781430247647.0,2013.0,2.0,656.0
665683,473,79,"Building Java Programs: A Back to Basics Approach, Student Value Edition / Edition 4","Marty Stepp,Stuart Reges",Pearson,9780134324654,2016.0,2,1224.0,Building Java Programs: A Back to Basics Approach,Stuart Reges,Addison Wesley,9780321382832.0,2007.0,2.0,896.0
669114,475,640,Java Foundations: Introduction to Program Design and Data Structures / Edition 4,"Joe Chase,Peter DePasquale,John Lewis",Pearson,9780134285436,2016.0,2,1152.0,Java Foundations: Introduction to Program Design & Data Structures,"John   Lewis,Peter DePasquale,Joe Chase",Addison Wesley Publishing Company,9780321429728.0,2007.0,3.0,874.0
670711,476,244,Murach's Java Servlets and JSP / Edition 3,"Joel Murach,Michael Urban","Murach, Mike & Associates, Inc.",9781890774783,2014.0,6,744.0,Murach's Java Servlets and JSP,"Joel Murach,Andrea Steelman",Mike Murach & Associates,9781890774448.0,2008.0,2.0,729.0
670808,476,594,Murach's Java Servlets and JSP / Edition 3,"Joel Murach,Michael Urban","Murach, Mike & Associates, Inc.",9781890774783,2014.0,6,744.0,Murach's Java Servlets and JSP,"Andrea Steelman,Murach, Joel / Steelman, Andrea Murach, Joel / Steelman, Andrea",Mike Murach & Associates,9781890774189.0,2003.0,1.0,642.0
673912,478,553,Professional Java for Web Applications / Edition 1,Nicholas S. Williams,Wiley,9781118656464,2014.0,3,936.0,Professional Java for Web Applications,Nick Williams,Wrox Press,9781118656464.0,2014.0,3.0,900.0
676580,480,617,OCA/OCP Java SE 7 Programmer I & II Study Guide (Exams 1Z0-803 & 1Z0-804),"Kathy Sierra,Bert Bates",McGraw-Hill Education,9780071771993,2014.0,10,888.0,Oca/Ocp Java Se 7 Programmer I & II Study Guide (Exams 1z0-8oca/Ocp Java Se 7 Programmer I & II Study Guide (Exams 1z0-803 & 1z0-804) 03 & 1z0-804),"Kathy Sierra,Bert Bates",McGraw-Hill/Osborne Media,9780071771993.0,2013.0,4.0,888.0
676665,480,801,OCA/OCP Java SE 7 Programmer I & II Study Guide (Exams 1Z0-803 & 1Z0-804),"Kathy Sierra,Bert Bates",McGraw-Hill Education,9780071771993,2014.0,10,888.0,OCA/OCP Java SE 7 Programmer I & II Study Guide (Exams 1Z0-803 & 1Z0-804) (Certification Press),"Kathy Sierra,Bert Bates",McGraw-Hill Education,,2014.0,10.0,888.0
678705,482,648,Java SE8 for Programmers / Edition 3,"Paul Deitel,Harvey Deitel",Prentice Hall,9780133891386,2014.0,4,1104.0,Java SE8 for Programmers,"Paul J. Deitel,Harvey M. Deitel",Prentice Hall,9780133891386.0,2014.0,4.0,1043.0
680599,483,1204,Beginning Java Programming: The Object-Oriented Approach / Edition 1,"Bart Baesens,Aimee Backiel,Seppe vanden Broucke",Wiley,9781118739495,2015.0,3,672.0,Beginning Java Programming: The Object-Oriented Approach,Deepak Vohra,Wrox Press,9781118739495.0,2015.0,3.0,672.0
685925,487,214,Objects First with Java: A Practical Introduction Using BlueJ / Edition 5,"David J. Barnes,Michael Kolling",Pearson,9780132492669,2011.0,12,560.0,Objects First with Java: A Practical Introduction Using BlueJ,"David J. Barnes,Michael Kölling",Prentice Hall,9780131976290.0,2006.0,6.0,520.0
686032,487,382,Objects First with Java: A Practical Introduction Using BlueJ / Edition 5,"David J. Barnes,Michael Kolling",Pearson,9780132492669,2011.0,12,560.0,Objects First with Java: A Practical Introduction Using Bluej.,D. Barnes,Pearson Education,9780132835541.0,2011.0,10.0,560.0
689632,489,183,Java Programming: From Problem Analysis to Program Design / Edition 5,D. S. Malik,Cengage Learning,9781111530532,2011.0,1,1072.0,Java Programming: From Problem Analysis To Program Design,D.S. Malik,Cengage Learning,9781423901358.0,2007.0,2.0,1055.0
693112,491,1354,The Perfect Wreck - Old Ironsides And Hms Java,Steven E. Maffeo,Fireship Press,9781611791518,2011.0,5,382.0,The Perfect Wreck - Old Ironsides and HMS Java: A Story of 1812,Steven E. Maffeo,Fireship Press,9781611791518.0,2011.0,5.0,382.0
694011,492,296,Java Performance: The Definitive Guide,Scott Oaks,"O'Reilly Media, Incorporated",9781449358457,2014.0,5,426.0,Java Performance: The Definitive Guide,Scott Oaks,O'Reilly Media,9781449358457.0,2014.0,5.0,500.0
697120,494,144,Data Structures: Abstraction and Design Using Java / Edition 2,Elliot B. Koffman,Wiley,9780470128701,2010.0,1,832.0,Data Structures: Abstraction and Design Using Java,"Elliot B. Koffman,Paul A.T. Wolfgang",John Wiley & Sons,9780470128701.0,2010.0,1.0,803.0
699383,495,1482,Murach's Beginning Java with Eclipse,"Joel Murach,Michael Urban","Murach, Mike & Associates, Inc.",9781890774899,2015.0,8,0.0,Murach's Beginning Java 2 [With CDROM],Andrea Steelman,Mike Murach & Associates,9781890774127.0,2001.0,9.0,712.0
699405,495,1540,Murach's Beginning Java with Eclipse,"Joel Murach,Michael Urban","Murach, Mike & Associates, Inc.",9781890774899,2015.0,8,0.0,"Murach's Beginning Java 2, JDK 5","Doug Lowe,Joel Murach,Andrea Steelman",Mike Murach & Associates,9781890774295.0,2005.0,1.0,782.0
702528,497,1554,"Java: The Ultimate Guide to Learn Java Programming and Computer Hacking (java for beginners, java for dummies, java apps, hacking)","Peter Hoffman,Matt Benton,java programming",CreateSpace Publishing,9781523407811,2016.0,3,74.0,"Java: The Ultimate Guide to Learn Java Programming and Computer Hacking (Java for Beginners, Java for Dummies, Java Apps, Hacking)","Peter Hoffman,Matt Benton,Java Programming",Createspace Independent Publishing Platform,9781523407811.0,2016.0,3.0,74.0
705798,500,125,"Object Oriented Software Engineering Using UML, Patterns, and Java / Edition 3",Bernd Bruegge,Pearson,9780136061250,2009.0,8,800.0,"Object-Oriented Software Engineering: Using UML, Patterns and Java","Bernd Bruegge,Allen H. Dutoit",Prentice Hall,9780130471109.0,2003.0,9.0,762.0
712032,504,276,Java 8 Pocket Guide,"Robert Liguori,Patricia Liguori","O'Reilly Media, Incorporated",9781491900864,2014.0,5,242.0,Java 8 Pocket Guide,"Robert Liguori,Patricia Liguori",O'Reilly Media,9781491900864.0,2014.0,4.0,223.0
712115,504,573,Java 8 Pocket Guide,"Robert Liguori,Patricia Liguori","O'Reilly Media, Incorporated",9781491900864,2014.0,5,242.0,Java 7 Pocket Guide,"Robert Liguori,Patricia Liguori",O'Reilly Media,9781449343750.0,2013.0,7.0,216.0
712138,504,624,Java 8 Pocket Guide,"Robert Liguori,Patricia Liguori","O'Reilly Media, Incorporated",9781491900864,2014.0,5,242.0,Java EE 6 Pocket Guide,Arun Gupta,O'Reilly Media,9781449336684.0,2012.0,10.0,210.0
713361,505,599,Pragmatic Unit Testing in Java 8 with JUnit,"Jeff Langr,Andy Hunt,Dave Thomas","Pragmatic Programmers, LLC, The",9781941222591,2015.0,3,200.0,Pragmatic Unit Testing in Java 8 with Junit,"Jeff Langr,Andy Hunt,Dave Thomas",Pragmatic Bookshelf,9781941222591.0,2015.0,3.0,200.0
714937,506,1627,Java in Easy Steps: Covers Java 8,Mike McGrath,In Easy Steps Limited,9781840786217,2014.0,9,192.0,Java in easy steps: Covers Java 9,Mike McGrath,In Easy Steps Limited,9781840787535.0,2017.0,7.0,192.0
715667,507,5,Java: An Introduction to Problem Solving and Programming with MyProgrammingLab -- Access Card Package / Edition 7,Walter Savitch,Pearson,9780133862119,2014.0,6,1024.0,Java: An Introduction to Problem Solving and Programming,Walter J. Savitch,Prentice Hall,9780131492028.0,2004.0,12.0,1060.0
719258,509,905,Java: An Eventful Approach / Edition 1,"Kim Bruce,Andrea Danyluk,Thomas Murtagh",Pearson,9780131424159,2005.0,7,720.0,Java: An Eventful Approach,Kim Bruce,Pearson,9780131424159.0,2005.0,8.0,720.0
722202,512,285,Learn Java for Web Development: Modern Java Web Development,Vishal Layka,Apress,9781430259831,2014.0,2,472.0,Learn Java for Android Development,Jeff Friesen,Apress,9781430231561.0,2010.0,9.0,636.0
722288,512,582,Learn Java for Web Development: Modern Java Web Development,Vishal Layka,Apress,9781430259831,2014.0,2,472.0,Learn Java for Web Development: Modern Java Web Development,Vishal Layka,Apress,,2014.0,2.0,472.0
724637,514,148,Fundamental 2D Game Programming with Java,Timothy M. Wright,Cengage Learning,9781305076532,2014.0,3,656.0,Fundamentals of Programming Using Java,Edward Currie,Thomson,9781844804511.0,2006.0,4.0,264.0
724944,514,1130,Fundamental 2D Game Programming with Java,Timothy M. Wright,Cengage Learning,9781305076532,2014.0,3,656.0,Fundamental 2D Game Programming with Java,Timothy M. Wright,Cengage Learning,9781305076532.0,2014.0,3.0,656.0
727342,516,921,"Beginning JSP, JSF and Tomcat: Java Web Development",Giulio Zambon,Apress,9781430246237,2012.0,9,436.0,"Beginning JSP, Jsf and Tomcat: Java Web Development",Giulio Zambon,Apress,9781430246237.0,2012.0,10.0,436.0
728375,517,321,Java Persistence with Hibernate / Edition 2,"Christian Bauer,Gavin King,Gary Gregory",Manning Publications Company,9781617290459,2015.0,12,608.0,Java Persistence with Hibernate,"Christian Bauer,Gavin King,Linda DeMichiel",Manning Publications,9781932394887.0,2006.0,12.0,841.0
729532,518,12,Killer Game Programming in Java,"Andrew Davison,Brett McLaughlin","O'Reilly Media, Incorporated",9780596007300,2005.0,5,998.0,Programming in Java,"Sachin Malhotra,Saurabh Choudhary","Oxford University Press, USA",9780198063582.0,2011.0,2.0,656.0
729678,518,272,Killer Game Programming in Java,"Andrew Davison,Brett McLaughlin","O'Reilly Media, Incorporated",9780596007300,2005.0,5,998.0,Killer Game Programming in Java,"Andrew Davison,Brett McLaughlin",O'Reilly Media,9780596007300.0,2005.0,5.0,969.0
731602,519,334,Java Concurrency in Practice,"Brian Goetz,Tim Peierls,Joshua Bloch,Joseph Bowbeer,David Holmes",Addison-Wesley,9780321349606,2006.0,5,403.0,Java Concurrency in Practice,"Brian Goetz,Tim Peierls,Joshua Bloch,Joseph Bowbeer,David Holmes,Doug Lea",Addison-Wesley Professional,9780321349606.0,2006.0,5.0,403.0
733425,520,245,Ivor Horton's Beginning Java,Ivor Horton,Wiley,9780470404140,2011.0,9,1152.0,Ivor Horton's Beginning Java: Java 7 Edition,Ivor Horton,Wrox Press,9780470404140.0,2011.0,9.0,1117.0
733561,520,462,Ivor Horton's Beginning Java,Ivor Horton,Wiley,9780470404140,2011.0,9,1152.0,"Ivor Horton's Beginning Java 2, JDK",Ivor Horton,Wrox Press,9780764568749.0,2005.0,1.0,1512.0
733848,520,1080,Ivor Horton's Beginning Java,Ivor Horton,Wiley,9780470404140,2011.0,9,1152.0,"Ivor Horton's Beginning Java, Java 7 Edition",Ivor Horton,Wrox Press,,2011.0,9.0,
736486,522,303,What's New in Java 7,Madhusudhan Konda,"O'Reilly Media, Incorporated",9781449318567,2011.0,10,14.0,What's New in Java 7?,Madhusudhan Konda,O'Reilly Media,,2011.0,10.0,19.0
740111,525,15,Core Java for the Impatient / Edition 1,Cay S. Horstmann,Addison-Wesley,9780321996329,2015.0,2,512.0,Core Java for the Impatient,Cay S. Horstmann,Addison-Wesley Professional,9780321996329.0,2015.0,2.0,512.0
745684,529,280,Java,C. L. Tang,C. L. Tang,2940153761893,2016.0,9,0.0,Java,"Kathy Sierra,Bert Bates,Marie-Cécile Baland",,9782841772766.0,,,
745707,529,935,Java,C. L. Tang,C. L. Tang,2940153761893,2016.0,9,0.0,Java,Colin McCormack,,9780333791851.0,,,
745716,529,1132,Java,C. L. Tang,C. L. Tang,2940153761893,2016.0,9,0.0,Java,C. L. Tang,Smashwords Edition,,2016.0,9.0,
745717,529,1135,Java,C. L. Tang,C. L. Tang,2940153761893,2016.0,9,0.0,Java,"Frank Carrano,Walter J. Savitch",,9780132366373.0,,,
747147,531,3,Data Structures and Abstractions with Java / Edition 4,"Frank M. Carrano,Timothy M. Henry",Pearson,9780133744057,2014.0,8,1024.0,Data Structures and Abstractions with Java,"Frank M. Carrano,Walter J. Savitch",Prentice Hall,9780132370455.0,2006.0,8.0,998.0
747158,531,22,Data Structures and Abstractions with Java / Edition 4,"Frank M. Carrano,Timothy M. Henry",Pearson,9780133744057,2014.0,8,1024.0,Data Structures and Abstractions with Java,"Frank Carrano,Walter J. Savitch",Prentice Hall,9780130174895.0,2002.0,12.0,843.0
747982,531,1715,Data Structures and Abstractions with Java / Edition 4,"Frank M. Carrano,Timothy M. Henry",Pearson,9780133744057,2014.0,8,1024.0,Data Structures And Abstractions With Java,Frank M. Carrand,Pearson Education,9780131601314.0,,,
749122,532,173,Data Structures and Algorithm Analysis in Java / Edition 3,Mark A. Weiss,Pearson,9780132576277,2011.0,12,640.0,Data Structures and Algorithms in Java,Adam Drozdek,Cengage Learning,9780534492526.0,2004.0,9.0,768.0
749163,532,248,Data Structures and Algorithm Analysis in Java / Edition 3,Mark A. Weiss,Pearson,9780132576277,2011.0,12,640.0,Data Structures and Algorithm Analysis in Java,Mark Allen Weiss,Addison Wesley,9780321370136.0,2006.0,3.0,576.0
749201,532,304,Data Structures and Algorithm Analysis in Java / Edition 3,Mark A. Weiss,Pearson,9780132576277,2011.0,12,640.0,Data Structures and Algorithms in Java,Robert Lafore,Sams Publishing,9780672324536.0,2002.0,11.0,800.0
749213,532,319,Data Structures and Algorithm Analysis in Java / Edition 3,Mark A. Weiss,Pearson,9780132576277,2011.0,12,640.0,Data Structures and Algorithms in Java,"Michael T. Goodrich,Roberto Tamassia",Wiley,9780471738848.0,2005.0,8.0,720.0
749267,532,420,Data Structures and Algorithm Analysis in Java / Edition 3,Mark A. Weiss,Pearson,9780132576277,2011.0,12,640.0,Data Structures and Algorithm Analysis in Java,Clifford A. Shaffer,Dover Publications,9780486485812.0,2011.0,9.0,608.0
749318,532,504,Data Structures and Algorithm Analysis in Java / Edition 3,Mark A. Weiss,Pearson,9780132576277,2011.0,12,640.0,Data Structures and Algorithms in Java,Peter  Drake,Prentice Hall,9780131469143.0,2005.0,12.0,568.0
751150,533,415,Starting Out with Java: From Control Structures through Data Structures / Edition 3,"Tony Gaddis,Godfrey Muganda",Pearson,9780134038179,2015.0,3,1464.0,Starting Out with Java: From Control Structures Through Data Structures,"Tony Gaddis,Godfrey Muganda",Addison-Wesley Professional,9780321545862.0,2011.0,3.0,1392.0
751240,533,584,Starting Out with Java: From Control Structures through Data Structures / Edition 3,"Tony Gaddis,Godfrey Muganda",Pearson,9780134038179,2015.0,3,1464.0,Starting Out with Java: From Control Structures Through Objects,Tony Gaddis,Pearson Education,9780132855839.0,2012.0,2.0,1127.0
751400,533,923,Starting Out with Java: From Control Structures through Data Structures / Edition 3,"Tony Gaddis,Godfrey Muganda",Pearson,9780134038179,2015.0,3,1464.0,Starting Out with Java: From Control Structures Through Objects [With CDROM],Tony Gaddis,Addison Wesley Publishing Company,9780321479273.0,2007.0,1.0,987.0
751728,533,1659,Starting Out with Java: From Control Structures through Data Structures / Edition 3,"Tony Gaddis,Godfrey Muganda",Pearson,9780134038179,2015.0,3,1464.0,Starting Out with Java: From Control Structures through Data Structures,"Tony Gaddis,Godfrey Muganda",Addison Wesley,9780321421029.0,2006.0,8.0,1319.0
753030,534,404,Introduction To Programming With Java: A Problem Solving Approach / Edition 2,"John Dean,Ray Dean",McGraw-Hill Education,9780073376066,2013.0,2,960.0,Introduction to Programming with Java: A Problem Solving Approach,"John Dean,Raymond Dean",McGraw-Hill Science/Engineering/Math,9780073047027.0,2007.0,12.0,816.0
754976,535,931,The Cucumber for Java Book: Behaviour-Driven Development for Testers and Developers,"Seb Rose,Matt Wynne,Aslak Hellesoy","Pragmatic Programmers, LLC, The",9781941222294,2015.0,3,338.0,The Cucumber for Java Book: Behaviour-Driven Development for Testers and Developers,"Seb Rose,Matt Wynne,Aslak Hellesoy",Pragmatic Bookshelf,9781941222294.0,2015.0,2.0,338.0
761204,540,100,Data Structures and Algorithms in Java / Edition 2,Robert Lafore,Sams,9780672324536,2002.0,11,800.0,"Data Structures, Algorithms, and Applications in Java",Sartaj Sahni,McGraw-Hill Companies,9780072450538.0,1999.0,9.0,833.0
761247,540,173,Data Structures and Algorithms in Java / Edition 2,Robert Lafore,Sams,9780672324536,2002.0,11,800.0,Data Structures and Algorithms in Java,Adam Drozdek,Cengage Learning,9780534492526.0,2004.0,9.0,768.0
761288,540,248,Data Structures and Algorithms in Java / Edition 2,Robert Lafore,Sams,9780672324536,2002.0,11,800.0,Data Structures and Algorithm Analysis in Java,Mark Allen Weiss,Addison Wesley,9780321370136.0,2006.0,3.0,576.0
761326,540,304,Data Structures and Algorithms in Java / Edition 2,Robert Lafore,Sams,9780672324536,2002.0,11,800.0,Data Structures and Algorithms in Java,Robert Lafore,Sams Publishing,9780672324536.0,2002.0,11.0,800.0
761338,540,319,Data Structures and Algorithms in Java / Edition 2,Robert Lafore,Sams,9780672324536,2002.0,11,800.0,Data Structures and Algorithms in Java,"Michael T. Goodrich,Roberto Tamassia",Wiley,9780471738848.0,2005.0,8.0,720.0
761392,540,420,Data Structures and Algorithms in Java / Edition 2,Robert Lafore,Sams,9780672324536,2002.0,11,800.0,Data Structures and Algorithm Analysis in Java,Clifford A. Shaffer,Dover Publications,9780486485812.0,2011.0,9.0,608.0
761443,540,504,Data Structures and Algorithms in Java / Edition 2,Robert Lafore,Sams,9780672324536,2002.0,11,800.0,Data Structures and Algorithms in Java,Peter  Drake,Prentice Hall,9780131469143.0,2005.0,12.0,568.0
763135,541,190,Java with the Judges,Sandra Glahn,AMG Publishers,9780899572215,2006.0,3,144.0,Java with the Judges,Sandra L. Glahn,AMG Publishers,9780899572215.0,2006.0,3.0,144.0
765323,542,750,Introduction to Programming with Greenfoot: Object-Oriented Programming in Java with Games and Simulations / Edition 2,Michael Kolling,Pearson,9780134054292,2015.0,3,304.0,Introduction to Programming with Greenfoot: Object-Oriented Programming in Java with Games and Simulations,Michael Kölling,Pearson,9780136037538.0,2009.0,8.0,216.0
768422,545,583,OCA Java SE 8 Programmer I Study Guide (Exam 1Z0-808),"Edward Finegan,Robert Liguori",McGraw-Hill Professional Publishing,9781259587511,2015.0,8,608.0,OCA: Oracle Certified Associate Java SE 8 Programmer I Study Guide: Exam 1Z0-808,"Jeanne Boyarsky,Scott Selikoff",Sybex,9781118957400.0,2014.0,12.0,432.0
768593,545,1074,OCA Java SE 8 Programmer I Study Guide (Exam 1Z0-808),"Edward Finegan,Robert Liguori",McGraw-Hill Professional Publishing,9781259587511,2015.0,8,608.0,Java 8 Programmer II Study Guide: Exam 1Z0-809,Esteban Herrera,,9781530845996.0,2016.0,4.0,752.0
769503,546,16,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,Sams,9780672337024,2014.0,6,450.0,Sams Teach Yourself Java in 24 Hours,Rogers Cadenhead,Sams,9780672330766.0,2009.0,11.0,432.0
769562,546,132,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,Sams,9780672337024,2014.0,6,450.0,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,Sams,9780672337024.0,2014.0,5.0,448.0
769705,546,365,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,Sams,9780672337024,2014.0,6,450.0,Sams Teach Yourself Java 2 in 24 Hours,Rogers Cadenhead,Sams,9780672324604.0,2002.0,10.0,552.0
770037,546,1060,"Java in 24 Hours, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,Sams,9780672337024,2014.0,6,450.0,"Java in 21 Days, Sams Teach Yourself (Covering Java 8)",Rogers Cadenhead,Sams Publishing,9780672337109.0,2016.0,1.0,720.0
