ltable_title,ltable_authors,ltable_publisher,ltable_ISBN13,ltable_publishedYear,ltable_publishedMonth,ltable_pages,rtable_title,rtable_authors,rtable_publisher,rtable_ISBN13,rtable_publishedYear,rtable_publishedMonth,rtable_pages
"Murach's Beginning Java 2, JDK 5 / Edition 1","Doug Lowe,Joel Murach,Andrea Steelman","Murach, Mike & Associates, Inc.",9.78189E+12,2005,1,782,"Murach's Beginning Java 2, JDK 5","Doug Lowe,Joel Murach,Andrea Steelman",Mike Murach & Associates,9.78189E+12,2005,1,782
Java Programming Step-By-Step,Tony Bevis,Ability First Limited,9.78096E+12,2012,1,508,Java Programming Step-By-Step,Tony Bevis,Ability First Limited,9.78096E+12,2012,1,508
The Sun Certified Java Developer Exam with J2SE 1.4 / Edition 1,"Jeremy Patterson,Mehran Habibi,Terry Camerlengo",Apress,9.78159E+12,2002,8,384,The Sun Certified Java Developer Exam with J2SE 1.4,"Mehran Habibi,Jeremy Patterson",Apress,9.78159E+12,2002,8,364
Advanced Techniques for Java Developers,"Daniel J. Berg,J. Steven Fritzinger",Wiley,9.78047E+12,1998,2,448,Advanced Techniques for Java Developers: With CDROM,Daniel J. Berg,Wiley,9.78047E+12,1998,2,448
Infusions,Java Writers,CreateSpace Publishing,9.78148E+12,2012,11,134,Infusions,Java Writers,Createspace,9.78148E+12,2012,11,134
Struts in Action: Building Web Applications With the Leading Java Framework,"Ted Husted,George Franciscus,Cedric Dumoulin,David Winterfeldt,Craig R McClanahan","O'Reilly Media, Incorporated",9.78193E+12,2002,10,664,Struts in Action: Building Web Applications with the Leading Java Framework,"Ted Husted,Cedric Dumoulin,George Franciscus,David Winterfeldt,Craig R. McClanahan",Manning Publications,9.78193E+12,2002,10,664
Be Prepared for the AP Computer Science Exam in Java,"Maria Litvin,Sally Bellacqua,Roger Frank,Dave Wittry",Skylight Publishing,9.78097E+12,2003,4,330,Be Prepared for the AP Computer Science Exam in Java,"Maria Litvin,Sally Bellacqua,Roger Frank,Dave Wittry",Skylight Pub,9.78097E+12,2003,4,352
COBOL Programmers Swing with Java / Edition 2,"E. Reed Doke,Richard A. Johnson,Bill C. Hardgrave",Cambridge University Press,9.78052E+12,2005,1,296,COBOL Programmers Swing with Java,"E. Reed Doke,Bill C. Hardgrave,Richard A.  Johnson",Cambridge University Press,9.78052E+12,2004,12,282
Java 7 Concurrency Cookbook,Javier Fernandez Gonzalez,Packt Publishing,9.78185E+12,2012,10,0,Java 7 Concurrency Cookbook,Javier Fernández,packt publishing,9.78185E+12,2012,10,386
A Comprehensive Introduction to Object-Oriented Programming with Java,C. Thomas Wu,"McGraw-Hill Companies, The",9.78007E+12,2007,1,1189,A Comprehensive Introduction to Object-Oriented Programming with Java,C. Thomas Wu,McGraw-Hill Higher Education,9.78007E+12,2007,2,1189
RESTful Java Patterns and Best Practices,Bhakti Mehta,Packt Publishing,9.78178E+12,2014,9,152,RESTful Java Patterns and Best Practices,Bhakti Mehta,Packt Publishing,,2014,9,152
Java Tutorial Continued: The Rest of the JDK / Edition 2,"Mary Campione,Kathy Walrath,Alison Huml,Tutorial Team",Addison-Wesley,9.7802E+12,1998,12,950,The Java? Tutorial Continued: The Rest of the JDK?,"Mary Campione,Kathy Walrath,Alison Huml",Addison-Wesley Professional,9.7802E+12,1999,1,976
Building Java Programs: A Back to Basics Approach / Edition 1,"Stuart Reges,Martin Stepp,Marty Stepp",Addison Wesley,9.78032E+12,2007,3,896,Building Java Programs: A Back to Basics Approach,Stuart Reges,Addison Wesley,9.78032E+12,2007,2,896
Pesantren Tradition: The Role of the Kyai in the Maintenance of Traditional Islam in Java,Zamakhsyari Dhofier,Arizona State University Program for Southeast Asian Studies,9.78188E+12,1999,1,254,The Pesantren Tradition: The Role of the Kyai in the Maintenance of Traditional Islam in Java,Zamakhsyari Dhofier,Arizona State University Program for Southeast Asian Monogra,9.78188E+12,1999,1,253
Professional Eclipse 3 for Java Developers,Berthold Daum,Wiley,9.78047E+12,2004,10,600,Professional Eclipse 3 for Java Developers,Berthold Daum,Wrox Press,9.78047E+12,2004,11,600
Islamic Spectrum in Java,Timothy Daniels,Taylor & Francis,9.78075E+12,2009,9,210,Islamic Spectrum in Java,Timothy Daniels,Routledge,9.78075E+12,2009,9,210
"Data Structures and Software Development in an Object Oriented Domain, Java Edition / Edition 1","Jean-Paul Tremblay,Grant A. Cheston,Grant A. Cheston",Prentice Hall,9.78014E+12,2002,8,1200,"Data Structures and Software Development in an Object Oriented Domain, Java Edition","Jean-Paul Tremblay,Grant A. Cheston",Prentice Hall,9.78014E+12,2002,8,1200
A Concise and Practical Introduction to Programming Algorithms in Java,Frank Nielsen,Springer London,9.78185E+12,2009,3,252,A Concise and Practical Introduction to Programming Algorithms in Java,Frank Nielsen,Springer,9.78185E+12,2009,4,252
Java Database Programming with Jdbc: Discover the Essentials for Developing Databases,"Pretik Patel,Karl Moss",Coriolis Group,9.78158E+12,1997,5,500,Java Database Programming with JDBC: Discover the Essentials for Developing Databases for Internet and Intranet Applications,"Pretik Patel,Karl Moss,Pretik Patel",Coriolis Group Books,9.78158E+12,1997,8,491
"Covert Java: Techniques for Decompiling, Patching, and Reverse Engineering",Alex Kalinovsky,Sams,9.78067E+12,2004,5,268,"Covert Java: Techniques for Decompiling, Patching, and Reverse Engineering",Alex Kalinovsky,Sams,9.78067E+12,2004,5,288
"Special Edition Using Java 2, Standard Edition","Chuck Cavaness,Joseph Weber,Geoff Friesen,Brian Keeton",Que,9.78079E+12,2000,12,1126,Special Edition Using Java 2 Standard Edition,"Chuck Cavaness,Brian Keeton",Que,9.78079E+12,2000,12,1152
"Jazz, Java & Jesus",Aleysha R. Proctor,Xlibris Corporation,9.78144E+12,2009,12,110,"Jazz, Java & Jesus",Aleysha R. Proctor,Xlibris Corporation,9.78144E+12,2009,12,110
Learn Objective-C for Java Developers,James Bucanek,Apress,9.78143E+12,2009,9,520,Learn Objective-C for Java Developers,James Bucanek,Apress,9.78143E+12,2009,9,520
Pentaho Reporting 3.5 For Java Developers,Will Gorman,Packt Publishing,9.78185E+12,2009,7,384,Pentaho Reporting 3.5 For Java Developers,Will Gorman,Packt Publishing,9.78185E+12,2009,7,384
Developing Enterprise Java Applications with J2EE and UML / Edition 1,"Khawar Zaman Ahmed,Cary E. Umrysh",Addison-Wesley,9.7802E+12,2001,10,368,Developing Enterprise Java Applications with J2ee(tm) and UML,"Khawar Zaman Ahmed,Ahmed, Khawar Zaman / Umrysh, Cary E. Ahmed, Khawar Zaman / Umrysh, Cary E.,Cary E. Umrysh",Addison-Wesley Professional,9.7802E+12,2001,10,368
"Scripting in Java: Languages, Frameworks, and Patterns",Dejan Bosanac,Addison-Wesley,9.78032E+12,2007,8,552,"Scripting in Java: Languages, Frameworks, and Patterns",Dejan Bosanac,Addison-Wesley Professional,9.78032E+12,2007,8,528
Internet Applications with the Java 2 Platform,"Art Gittleman,Gittleman",Addison Wesley,9.78158E+12,2000,12,528,Internet Applications with Java 2,Art Gittleman,Addison Wesley Publishing Company,9.78158E+12,2000,11,528
Java For The Beginning Programmer,Jeff Heaton,Heaton Research,9.78098E+12,2006,5,336,Java for the Beginning Programmer,Jeff Heaton,"Heaton Research, Inc.",9.78098E+12,2006,5,336
A Java Library of Graph Algorithms and Optimization,Hang T. Lau,Taylor & Francis,9.78158E+12,2006,10,0,A Java Library of Graph Algorithms and Optimization,Hang T. Lau,Chapman & Hall/CRC,9.78158E+12,2006,10,386
Introduction to Java Programming / Edition 8,Y. Daniel Liang,Prentice Hall,9.78013E+12,2010,1,1368,Introduction to Java Programming [With Access Code],Y. Daniel Liang,Prentice Hall,9.78013E+12,2010,1,731
Migrating from Java 1.0 to Java 1.1,Daniel I. Joshi,"Ventana Communications Group, Incorporated",9.78157E+12,1997,5,528,Migrating from Java 1.0 to Java 1.1 [With CDROM],Daniel I. Joshi,Ventana Communications Group,9.78157E+12,1997,7,503
Inside Indonesian Society: Cultural Change in Java,Niels Mulder,Pepin Press,9.78905E+12,1997,8,240,Inside Indonesian Society: Cultural Change in Java,Niels Mulder,The Pepin Press,9.78905E+12,1997,9,240
Practical Database Programming with Java / Edition 1,Ying Bai,Wiley,9.78047E+12,2011,10,952,Practical Database Programming with Java,Ying Bai,IEEE Computer Society Press,9.78047E+12,2011,9,919
"Java Programming: Complete Concepts and Techniques, Third Edition / Edition 3","Gary B. Shelly,Thomas J. Cashman,Joy L. Starks,Michael Mick,Joy L. Starks",Cengage Learning,9.78142E+12,2005,9,648,Java Programming: Comprehensive Concepts and Techniques,"Gary B. Shelly,Thomas J. Cashman,Joy L. Starks",Cengage Learning,9.78142E+12,2005,10,1008
"Java Programming: Complete Concepts and Techniques, Third Edition / Edition 3","Gary B. Shelly,Thomas J. Cashman,Joy L. Starks,Michael Mick,Joy L. Starks",Cengage Learning,9.78142E+12,2005,9,648,Java Programming: Complete Concepts and Techniques,"Gary B. Shelly,Thomas J. Cashman,Joy L. Starks",Course Technology,9.78142E+12,2005,9,648
"Complete Java 2 Certification Study Guide, Third Edition / Edition 3",Philip Heller,"Sybex, Incorporated",9.78078E+12,2002,7,816,Complete Java 2 Certification Study Guide [With CDROM],"Philip Heller,Simon Roberts",Sybex,9.78078E+12,2002,7,816
Pro Java 8 Programming,Terrill Brett Spell,Apress,9.78148E+12,2015,5,708,Pro Java 8 Programming,Brett Spell,Apress,,2015,5,708
.NET for Java Developers: Migrating to C#,"Jawahar Puvvala,Alok Pota",Pearson Education,9.78067E+12,2003,5,689,.Net for Java Developers: Migrating to C#,Jawahar Puvvala,Addison-Wesley Professional,9.78067E+12,2003,7,689
Java Look and Feel Design Guidelines / Edition 2,"Sun Microsystems, Inc.,Inc Sun Microsystems",Addison-Wesley,9.7802E+12,2001,3,416,Java(tm) Look and Feel Design Guidelines [With CDROM],Sun Microsystems,Addison-Wesley Professional,9.7802E+12,2001,3,416
Introduction to Programming and Design Using Java,"Jaime Nino,Frederick A. Hosch,Frederick A. Hosch",Wiley,9.78047E+12,2004,3,976,An Introduction to Programming and Object-Oriented Design Using Java,"Jaime Nino,Frederick A. Hosch",Wiley,9.78047E+12,2004,10,976
Guide to Web Development with Java: Understanding Website Creation / Edition 1,Tim Downey,Springer London,9.78145E+12,2012,2,386,Guide to Web Development with Java: Understanding Website Creation,Tim Downey,Springer,9.78145E+12,2012,2,386
JDBC 3.0: JAVA Database Connectivity,Bernard Van Haecke,Wiley,9.78076E+12,2002,2,600,JDBC 3.0: Java Database Connectivity,Bernard Van Haecke,Wiley,9.78076E+12,2002,1,600
Advanced Java Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,CreateSpace Publishing,9.78146E+12,2011,5,108,Advanced Java Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,Createspace,9.78146E+12,2011,5,108
Advanced Java Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,CreateSpace Publishing,9.78146E+12,2011,5,108,Java/J2ee Design Patterns Interview Questions You'll Most Likely Be Asked,Vibrant Publishers,Createspace,9.78146E+12,2011,3,110
Java 7 New Features Cookbook,"Richard M. Reese,Jennifer L. Reese",Packt Publishing,9.78185E+12,2012,2,384,Java 7 New Features Cookbook,"Richard M. Reese,Jennifer L. Reese",Packt Publishing,9.78185E+12,2012,2,384
Understanding Object-Oriented Programming With Java: Updated Edition (New Java 2 Coverage) / Edition 1,Timothy Budd,Pearson,9.7802E+12,1999,8,420,Understanding Object-Oriented Programming with Java: Updated Edition (New Java 2 Coverage),Timothy Budd,Pearson,9.7802E+12,1999,8,420
Instant Web Scraping with Java,Ryan Mitchell,Packt Publishing Pvt. Ltd.,9.78185E+12,2013,8,0,Instant Web Scraping with Java,Ryan Mitchell,Packt Publishing,9.7813E+12,2014,6,72
Service Oriented Java Business Integration,Binildas C. A.,Packt Publishing,9.78185E+12,2008,3,436,Service-Oriented Java Business Integration,Binildas A Christudas,Packt Publishing,9.78185E+12,2008,2,436
"Robust Java: Exception Handling, Testing, and Debugging",Stephen Stelting,Prentice Hall,9.78013E+12,2004,9,304,"Robust Java: Exception Handling, Testing, and Debugging",Stephen Stelting,Prentice Hall PTR,9.78013E+12,2004,9,375
"Programming Spiders, Bots, and Aggregators in Java",Jeff Heaton,Wiley,9.78078E+12,2002,2,516,"Programming Spiders, Bots and Aggregators in Java (Transcend Technique)",Jeff Heaton,John Wiley & Sons,9.78078E+12,2002,2,516
Object Oriented Software Development Using Java / Edition 2,Xiaoping Jia,Pearson,9.7802E+12,2002,11,696,Object Oriented Software Development Using Java,Xiaoping Jia,Pearson,9.7802E+12,2002,11,696
Java and Mac OS X,T. Gene Davis,Wiley,9.78047E+12,2010,5,0,Java and Mac OS X,T. Gene Davis,John Wiley & Sons,9.78047E+12,2010,5,492
Java and Mac OS X,T. Gene Davis,Wiley,9.78047E+12,2010,5,0,Java and Mac OS X,T. Gene Davis,Wiley,9.78047E+12,2010,3,512
Java Web Development Illuminated / Edition 1,"Kai Qian,Richard Allen,Mia Gan,Bob Brown",Jones & Bartlett Learning,9.78076E+12,2006,7,702,Java Web Development Illuminated,"Kai Qian,Robert Brown",Jones & Bartlett Publishers,9.78076E+12,2006,7,702
Java Programming for the Absolute Beginner,John P Flynt,Cengage Learning,9.7816E+12,2006,6,480,Java Programming for the Absolute Beginner,John P. Flynt,Course Technology,9.7816E+12,2006,6,459
A Programmer's Guide to Java Certification: A Comprehesive Primer / Edition 2,"Khalid A Mughal,Rolf W Rasmussen,Rolf W. Rasmussen",Addison-Wesley,9.7802E+12,2003,8,672,A Programmer's Guide to Java Certification: A Comprehensive Primer,Khalid Mughal,Addison-Wesley Professional,9.7802E+12,2003,8,672
Real-Time Java Programming: With Java RTS,Eric J. Bruno,Pearson Education,9.78014E+12,2009,6,432,Real-Time Java Programming: With Java RTS,Eric J. Bruno,Prentice Hall PTR,9.78014E+12,2009,6,409
Real-Time Java Programming: With Java RTS,Eric J. Bruno,Pearson Education,9.78014E+12,2009,6,432,Real-Time Java Programming: With Java Rts,"Eric Bruno,Greg Bollella",Prentice Hall Professional,9.78014E+12,2009,6,431
Tricks of the Java Programming Gurus,Glenn L. Vanderburg,Macmillan Computer Publishing,9.78158E+12,1996,7,888,Tricks of the Java Programming Gurus,Glenn Vanderburg,Sams,9.78158E+12,1996,7,600
Java Foundation Classes in a Nutshell,"David Flanagan,Paula Ferguson","O'Reilly Media, Incorporated",9.78157E+12,1999,10,754,Java Foundation Classes in a Nutshell: A Desktop Quick Reference,David Flanagan,O'Reilly Media,9.78157E+12,1999,10,754
Real World Java Ee Night Hacks Dissecting The Business Tier,Adam Bien,Lulu.com,9.78145E+12,2011,6,168,Real World Java Ee Night Hacks Dissecting The Business Tier,Adam Bien,Lulu.com,9.78145E+12,2011,6,168
The Battle of the Java Sea,F. C. Van Oosten,"Allan, Ian Publishing",9.78071E+12,1976,1,128,The Battle of the Java Sea,F.C. van Oosten,US Naval Institute Press,9.78087E+12,1976,1,128
How Tomcat Works: A Guide to Developing Your Own Java Servlet Container,"Budi Kurniawan,Paul Deck",Brainy Software,9.78098E+12,2004,5,460,How Tomcat Works: A Guide to Developing Your Own Java Servlet Container,"Budi Kurniawan,Paul Deck",BrainySoftware,9.78098E+12,2004,4,458
Java Programming - A Beginner's Course,Noel Kalicharan,CreateSpace,9.78144E+12,2008,8,312,Java Programming - A Beginner's Course,Noel Kalicharan,CreateSpace,9.78144E+12,2008,8,312
Java Ee Development with Eclipse,Deepak Vohra,Packt Publishing,9.78178E+12,2012,11,426,Java Ee Development with Eclipse,Deepak Vohra,Packt Publishing,9.78178E+12,2012,11,426
"Merdeka Rising: Part Two of Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9.78096E+12,2013,12,336,"Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9.78096E+12,2013,8,338
"Merdeka Rising: Part Two of Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9.78096E+12,2013,12,336,"Merdeka Rising: Part Two of Black Sun, Red Moon: A Novel of Java",Rory Marron,Seventh Citadel,9.78096E+12,2013,12,334
Jewell of the Java Sea,"Dan Cushman,Cushman",Gale Group,9.78078E+12,1999,12,247,Jewel of the Java Sea,Dan Cushman,Thorndike Press,9.78078E+12,1999,2,245
Understanding Object-Oriented Programming with Java,"Timothy Budd,Susan Hartmann,Alwyn R. Velasquez,Susan Cyr",Addison-Wesley,9.7802E+12,1998,2,367,Understanding Object-Oriented Programming with Java,Timothy Budd,Addison Wesley Publishing Company,9.7802E+12,1998,1,367
Fundamentals of Object-Oriented Programming in Java,Permanand Mohan,CreateSpace Publishing,9.78148E+12,2013,2,476,Fundamentals of Object-Oriented Programming in Java,Permanand Mohan,Createspace,9.78148E+12,2013,2,476
Decompiling Java / Edition 1,Godfrey Nolan,Apress,9.78159E+12,2004,7,280,Decompiling Java,Godfrey Nolan,Apress,9.78159E+12,2004,7,264
Bug Patterns in Java,Eric Allen,Apress,9.78159E+12,2002,10,264,Bug Patterns in Java,Eric Allen,Apress,9.78159E+12,2002,10,216
Java Drawing with Apache Batik: A Tutorial,"Alexander Kolesnikov,Paul Deck,Budi Kurniawan",BrainySoftware,9.78098E+12,2007,1,450,Java Drawing with Apache Batik: A Tutorial,Alexander Kolesnikov,BrainySoftware,9.78098E+12,2007,1,256
"Weaving a Website: Programming in HTML, Java Script, Perl and Java / Edition 1",Susan Anderson-Freed,Prentice Hall,9.78013E+12,2001,7,747,"Weaving a Website: Programming in HTML, Java Script, Perl and Java",Susan Anderson-Freed,Prentice Hall,9.78013E+12,2001,8,747
Java Database Programming Bible,"John O'Donahue,John O' Donahue",Wiley,9.78076E+12,2002,8,720,Java Database Programming Bible,John O'Donahue,Wiley,9.78076E+12,2002,8,720
The Java EE 6 Tutorial: Basic Concepts,Eric Jendrock,Pearson Education,9.78014E+12,2010,8,600,The Java EE 6 Tutorial: Basic Concepts,"Eric Jendrock,Ian Evans,Devika Gollapudi,Kim Haase,Chinmayee Srivathsa",Prentice Hall,9.78014E+12,2010,8,559
Rapid Java Web Development,Javier Paniza,CreateSpace Publishing,9.78146E+12,2011,3,328,Rapid Java Web Development,Javier Paniza,Createspace,9.78146E+12,2011,3,328
Java 1.1 Programmer's Reference,"Daniel I. Joshi,Pavel A. Vorobiev","Ventana Communications Group, Incorporated",9.78157E+12,1997,6,1000,The Java 1.1 Programmer's Reference,"Daniel I. Joshi,Pavel A. Vorobiev",Coriolis Group Books,9.78157E+12,1997,7,1000
Oracle 9i Java Programming: Solutions for Developers Using PL/SQL / Edition 1,"HOLM,Sant K. Singh,Kevin Mukhar",Apress,9.78186E+12,2001,12,825,Oracle 9i Java Programming: Solutions for Developers Using Java and PL/SQL,"Bjarki Holm,John  Carnell",Wrox Press,9.78186E+12,2001,12,880
Introducing Java EE 7: A Look at What's New,Josh Juneau,Apress,9.78143E+12,2013,6,240,Introducing Java Ee 7: A Look at What's New,Josh Juneau,Apress,9.78143E+12,2013,6,240
Essential Java Fast: How to write object oriented software for the Internet / Edition 1,John Cowell,Springer London,9.78354E+12,1997,10,186,Essential Java Fast: How to Write Object Oriented Software for the Internet in Java,John Cowell,Springer,9.78354E+12,1997,2,186
Pro Java ME MMAPI: Mobile Media API for Java Micro Edition / Edition 1,Vikram Goyal,Apress,9.78159E+12,2006,4,250,Pro Java ME MMAPI: Mobile Media API for Java Micro Edition,Vikram Goyal,Apress,9.78159E+12,2006,5,267
Programming and Problem Solving with Java / Edition 1,James M. Slack,Brooks/Cole,9.78053E+12,1999,12,848,Programming and Problem Solving with Java,James M. Slack,Course Technology,9.78053E+12,1999,12,848
175 Multiple-Choice Questions in Java,"Maria Litvin,Gary Litvin,Gary Litvin",Skylight Publishing,9.78097E+12,2005,4,144,175 Multiple Choice Questions in Java,Maria Litvin,Skylight Pub,9.78097E+12,2005,4,144
Java Deployment with JNLP and WebStart,Mauro Marinilli,Sams,9.78067E+12,2001,10,512,Java Deployment with Jnlp and Webstart,Mauro Marinilli,Sams Publishing,9.78067E+12,2001,9,512
Java and JMX: Building Manageable Systems,"Heather Kreger,Ward Harold,Leigh Williamson",Addison-Wesley,9.78067E+12,2002,12,592,Java and Jmx: Building Manageable Systems,"Heather Kreger,Leigh Williamson",Addison-Wesley Professional,9.78067E+12,2003,1,592
Java 6 Illuminated: An Active Learning Approach / Edition 2,"Julie Anderson,Herve J. Franceschi",Jones & Bartlett Learning,9.78076E+12,2008,1,1288,Java 6 Illuminated: An Active Learning Approach (Jones and Barlett Illuminated),"Julie Anderson,Hervé J. Franceschi",Jones & Bartlett Learning,9.78076E+12,2008,1,1288
Beginning Java Databases,"MUKHAR,Bjarki Holm,John Carnell,Mark Mamone,Ron Phillips",Apress,9.78186E+12,2001,8,800,Beginning Java Databases,"Kevin Mukhar,John  Carnell",Wrox Press,9.78186E+12,2001,8,973
Developing Java EE 6 applications on JBoss AS7,Francesco Marchioni,Packt Publishing,9.78178E+12,2013,7,326,Developing Java Ee 6 Applications on Jboss As7,Francesco Marchioni,Packt Publishing,9.78178E+12,2013,3,326
Java EE 7 First Look,Ndjobo Armel Fabrice,Packt Publishing,9.78185E+12,2013,11,188,Java Ee 7 First Look,Ndjobo Armel Fabrice,Packt Publishing,9.78185E+12,2013,11,188
Object-Oriented Data Structures Using Java / Edition 2,"Nell Dale,Daniel T. Joyce,Chip Weems",Jones & Bartlett Learning,9.78076E+12,2006,2,779,Object-Oriented Data Structures Using Java,"Nell B. Dale,Daniel T. Joyce,Chip Weems",Jones & Bartlett Publishers,9.78076E+12,2006,2,779
Java 2 Micro Edition,"James White,David A Hemphill",Manning Publications Company,9.78193E+12,2002,4,504,Java 2 Micro Edition,"James     White,David Hemphill,David A. Hemphill",Manning Publications,9.78193E+12,2002,4,504
Programming with Java,"Julia Case Bradley,Anita Millspaugh",McGraw-Hill Higher Education,9.78007E+12,2001,8,720,Programming with Java W/ CD-ROM,"Julia Case Bradley,Anita C. Millspaugh",Irwin/McGraw-Hill,9.78007E+12,2001,8,720
Black Art of Java Game Programming,"Joel Fan,Calin Tenitchi,Eric Ries",Sams,9.78157E+12,1996,11,984,Black Art of Java Game Programming [With CDROM],"Joel Fan,Eric Ries",Waite Group Press,9.78157E+12,1996,11,933
Enterprise Java with UML,"C. T. Arrington,Susan Cardinale,Hugo Scavino",Wiley,9.78047E+12,2001,1,0,Enterprise Java with UML [With CDROM],"C.T. Arrington,Susan Cardinale,Hugo Scavino",John Wiley & Sons,9.78047E+12,2001,1,451
Java 7: A Comprehensive Tutorial,Budi Kurniawan,Brainy Software,2.94015E+12,2014,4,846,Java 7: A Comprehensive Tutorial,Budi Kurniawan,BrainySoftware,9.78098E+12,2014,5,850
Java Quick Reference,"Mike M. Afergan,Mike Afergan",Que,9.78079E+12,1996,7,432,Java Quick Reference,Mike Afergan,Que,9.78079E+12,1996,7,430
Web Service Patterns: Java Edition,Paul B. Monday,Apress,9.78159E+12,2003,4,352,Web Services Patterns: Java Edition,Paul B. Monday,Apress,9.78159E+12,2003,4,352
Java Enterprise Design Patterns: Patterns in Java Volume 3,Mark Grand,Wiley,9.78047E+12,2001,11,496,Java Enterprise Design Patterns: Patterns in Java Volume 3 (With CD-ROM),Mark Grand,Wiley,9.78047E+12,2001,2,416
Java Enterprise Design Patterns: Patterns in Java Volume 3,Mark Grand,Wiley,9.78047E+12,2001,11,496,Java Enterprise Design Patterns: Patterns in Java,Mark Grand,Wiley,9.78047E+12,2002,7,496
Java Enterprise Design Patterns: Patterns in Java Volume 3,Mark Grand,Wiley,9.78047E+12,2001,11,496,Java Enterprise Design Patterns: Patterns in Java: 3,Mark Grand,Wiley,,2001,11,496
Bluetooth Application Programming with the Java APIs,"C Bala Kumar,Paul J. Kline,Timothy J. Thompson",Elsevier Science,9.78156E+12,2003,9,498,Bluetooth Application Programming with the Java APIs,"C. Bala Kumar,Paul J. Kline,Timothy J. Thompson",Morgan Kaufmann Publishers,9.78156E+12,2003,10,498
SCJP Sun Certified Programmer for Java 5 Study Guide (Exam 310-055) / Edition 1,"Kathy Sierra,Bert Bates",McGraw-Hill Professional Publishing,9.78007E+12,2006,1,825,SCJP Sun Certified Programmer for Java 5 Study Guide (Exam 310-055) (Certification Press),"Katherine Sierra,Bert Bates",McGraw-Hill Osborne,9.78007E+12,2006,1,825
Professional Java Programming,"SPELL,George Gongo",Apress,9.78186E+12,2000,12,144,Professional Java Programming,Brett Spell,Wrox Press,9.78186E+12,2000,12,1111
Java from the Beginning / Edition 1,Jan Skansholm,Pearson Education,9.7802E+12,1999,12,540,Java from the Beginning,Jan Skansholm,Addison Wesley Publishing Company,9.7802E+12,1999,12,540
Android Application Development for Java Programmers,James Sheusi,Cengage Learning,9.78113E+12,2012,1,320,Android Application Development for Java Programmers,James Sheusi,Cengage Learning,9.78113E+12,2012,1,320
Imagine That!,Becki Java,Xulon Press,9.7816E+12,2007,3,208,Imagine That!,Becki Java,Xulon Press,9.7816E+12,2007,3,208
Dwr Java Ajax Applications,Sami Salkosuo,Packt Publishing,9.78185E+12,2008,10,232,Dwr Java Ajax Applications,Sami Salkosuo,Packt Publishing,9.78185E+12,2008,10,232
Java 2: In Plain English,"Brian Overland,Michael Morrison",Wiley,9.78076E+12,2001,5,768,Java 2 in Plain English,"Brian Overland,Michael Morrison",Wiley,9.78076E+12,2001,5,768
Building Hybrid Android Apps with Java and JavaScript: Applying Native Device APIs,"Nizamettin Gok,Nitin Khanna","O'Reilly Media, Incorporated",9.78145E+12,2013,8,156,Building Hybrid Android Apps with Java and JavaScript: Applying Native Device APIs,"Nizam,Nitin Khanna",O'Reilly Media,9.78145E+12,2013,8,156
"Java Ee6 Cookbook for Securing, Tuning, and Extending Enterprise Applications",Mick Knutson,Packt Publishing,9.78185E+12,2012,6,356,"Java EE 6 Cookbook for Securing, Tuning, and Extending Enterprise Applications",Mick Knutson,PACKT Publishing,9.78185E+12,2012,6,356
Data Structures with Java,"William Topp,William Ford III",Prentice Hall Professional Technical Reference,9.78013E+12,2005,1,1024,Data Structures with Java,"William H. Ford,William R. Topp",Prentice Hall,9.78013E+12,2005,12,1024
Java: How to Program / Edition 6,"Deitel,Paul J. Deitel,Paul J. Deitel,Paul J. Deitel",Prentice Hall,9.78013E+12,2004,12,1576,Java: How to Program,"Harvey M. Deitel,Paul J. Deitel",Prentice Hall,9.78013E+12,2004,8,1568
Rich Internet Applications with Adobe Flex and Java: Secrets of the Masters,Yakov Fain,SYS-CON Media,9.78098E+12,2006,10,707,Rich Internet Applications with Adobe Flex & Java (Secrets of the Masters),Yakov Fain,SYS-CON Books,9.78098E+12,2007,10,707
Schaum's Outline of Data Structures with Java / Edition 2,John R. Hubbard,"McGraw-Hill Companies, The",9.78007E+12,2007,6,384,Schaum's Outline of Data Structures with Java,John R.  Hubbard,McGraw-Hill Companies,9.78007E+12,2007,7,333
"Java Programming: A Beginners Guide to Learning Java, Step by Step",Troy Dimes,CreateSpace Publishing,9.78151E+12,2015,1,110,"Java Programming: A Beginners Guide to Learning Java, Step by Step",Troy Dimes,,,2015,1,109
XML Development with Java 2,"Michael C. Daconta,Albert J. Saganich",Pearson Education,9.78067E+12,2000,10,448,XML Development with Java 2,"Michael C. Daconta,Al Saganich",Sams,9.78067E+12,2000,10,800
Programming Java on Linux,Nathan Meyers,Pearson Education,9.78157E+12,1999,12,944,Java Programming on Linux,Nathan Meyers,Waite Group Press,9.78157E+12,1999,12,900
Starting Out with Java: From Control Structures through Data Structures / Edition 1,"Tony Gaddis,Godfrey Muganda,Godfrey Muganda",Addison Wesley,9.78032E+12,2006,8,1319,Starting Out with Java: From Control Structures through Data Structures,"Tony Gaddis,Godfrey Muganda",Addison Wesley,9.78032E+12,2006,8,1319
